 +Z End : Circumference,,,,, -Z End : Circumference,,,,, +Z End : I-Beam +1 ,,,,, +Z End : I-Beam +2,,,,, +Z End : I-Beam +3,,,,, +Z End : I-Beam +4,,,,, +Z End : I-Beam +5,,,,, +Z End : I-Beam +6,,,,, +Z End : I-Beam +7,,,,, +Z End : I-Beam +8,,,,, +Z End : I-Beam +9,,,,, +Z End : I-Beam +10,,,,, +Z End : I-Beam +11,,,,, +Z End : I-Beam +12,,,,, +Z End : I-Beam +13 ,,,,, +Z End : I-Beam +14,,,,, +Z End : I-Beam +15,,,,, +Z End : I-Beam +16,,,,, +Z End : I-Beam +17,,,,, +Z End : I-Beam +18,,,,, +Z End : I-Beam +19 ,,,
,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z
C1,,,,,C1,,,,,I1_F1,,,,,I2_F1,,,,,I3_F1,,,,,I4_F1,,,,,I5_F1,,,,,I6_F1,,,,,I7_F1,,,,,I8_F1,,,,,I9_F1,,,,,I10_F1,,,,,I11_F1,,,,,I12_F1,,,,,I13_F1,,,,,I14_F1,,,,,I15_F1,,,,,I16_F1,,,,,I17_F1,,,,,I18_F1,,,,,I19_F1,,,
C2,,,,,C2,,,,,I1_F2,,,,,I2_F2,,,,,I3_F2,,,,,I4_F2,,,,,I5_F2,,,,,I6_F2,,,,,I7_F2,,,,,I8_F2,,,,,I9_F2,,,,,I10_F2,,,,,I11_F2,,,,,I12_F2,,,,,I13_F2,,,,,I14_F2,,,,,I15_F2,,,,,I16_F2,,,,,I17_F2,,,,,I18_F2,,,,,I19_F2,,,
C3,,,,,C3,,,,,I1_F3,,,,,I2_F3,,,,,I3_F3,,,,,I4_F3,,,,,I5_F3,,,,,I6_F3,,,,,I7_F3,,,,,I8_F3,,,,,I9_F3,,,,,I10_F3,,,,,I11_F3,,,,,I12_F3,,,,,I13_F3,,,,,I14_F3,,,,,I15_F3,,,,,I16_F3,,,,,I17_F3,,,,,I18_F3,,,,,I19_F3,,,
C4,,,,,C4,,,,,I1_F4,,,,,I2_F4,,,,,I3_F4,,,,,I4_F4,,,,,I5_F4,,,,,I6_F4,,,,,I7_F4,,,,,I8_F4,,,,,I9_F4,,,,,I10_F4,,,,,I11_F4,,,,,I12_F4,,,,,I13_F4,,,,,I14_F4,,,,,I15_F4,,,,,I16_F4,,,,,I17_F4,,,,,I18_F4,,,,,I19_F4,,,
C5,,,,,C5,,,,,I1_F5,,,,,I2_F5,,,,,I3_F5,,,,,I4_F5,,,,,I5_F5,,,,,I6_F5,,,,,I7_F5,,,,,I8_F5,,,,,I9_F5,,,,,I10_F5,,,,,I11_F5,,,,,I12_F5,,,,,I13_F5,,,,,I14_F5,,,,,I15_F5,,,,,I16_F5,,,,,I17_F5,,,,,I18_F5,,,,,I19_F5,,,
C6,,,,,C6,,,,,I1_F6,,,,,I2_F6,,,,,I3_F6,,,,,I4_F6,,,,,I5_F6,,,,,I6_F6,,,,,I7_F6,,,,,I8_F6,,,,,I9_F6,,,,,I10_F6,,,,,I11_F6,,,,,I12_F6,,,,,I13_F6,,,,,I14_F6,,,,,I15_F6,,,,,I16_F6,,,,,I17_F6,,,,,I18_F6,,,,,I19_F6,,,
C7,,,,,C7,,,,,I1_F7,,,,,I2_F7,,,,,I3_F7,,,,,I4_F7,,,,,I5_F7,,,,,I6_F7,,,,,I7_F7,,,,,I8_F7,,,,,I9_F7,,,,,I10_F7,,,,,I11_F7,,,,,I12_F7,,,,,I13_F7,,,,,I14_F7,,,,,I15_F7,,,,,I16_F7,,,,,I17_F7,,,,,I18_F7,,,,,I19_F7,,,
C8,,,,,C8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C9,,,,,C9,,,,, +Z End : I-Beam +20,,,,, +Z End : I-Beam +21,,,,, +Z End : I-Beam +22,,,,, +Z End : I-Beam +23,,,,, +Z End : I-Beam +24,,,,, +Z End : I-Beam +25,,,,, +Z End : I-Beam +26,,,,, +Z End : I-Beam +27,,,,, +Z End : I-Beam +28,,,,, +Z End : I-Beam +29,,,,, +Z End : I-Beam +30,,,,, +Z End : I-Beam +31,,,,, +Z End : I-Beam +32,,,,, +Z End : I-Beam +33,,,,, +Z End : I-Beam +34,,,,, +Z End : I-Beam +35,,,,, +Z End : I-Beam +36,,,,, +Z End : I-Beam +37,,,,, +Z End : I-Beam +38,,,
